Cu source	Ligand	Ligand equiv.	Base	Base equiv.	Solvent	Molarity	T [°C]	BnNH2 equiv.	Yield of 3aa	Conversion of 1a	Round	Acquisition type
CuCl	L5	0.05	TBAO	0.5	DMSO	1	60	1.5	14.46	31.45	5	EI
CuCl	L3	0.1	TBAO	0.5	EtOH	1	60	1.5	14.55	33.41	5	EI
CuCl	L5	0.1	K2CO3	0.5	EtOH	1	60	1.5	37.45	61.14	5	EI
CuCl	L5	0.1	TBAO	0.5	PhMe	1	60	1.5	5.65	35.37	5	EI
CuCl	L5	0.1	TBAO	0.5	EtOH	1	60	1.1	15.56	32.82	5	EI
CuCl	L5	0.1	TBAO	0.5	EtOH	1	80	1.5	37.90	75.38	5	EI
CuCl	L5	0.05	TBAO	0.5	EtOH	1	60	1.5	14.22	30.39	5	EI
CuBr	L5	0.1	K2CO3	1	EtOH	1	80	1.5	43.98	81.94	6	EI
CuCl	L5	0.1	K2CO3	0.5	EtOH	0.5	80	1.5	30.73	69.41	6	EI
CuCl	L7	0.1	K2CO3	0.5	EtOH	1	80	1.5	62.33	86.46	6	EI
CuCl	L5	0.1	K2CO3	2	EtOH	1	80	1.5	33.37	63.63	6	EI
CuCl	L5	0.1	NaOtBu	0.5	EtOH	1	80	1.5	25.45	62.88	6	EI
Cu2O	L5	0.1	K2CO3	0.5	EtOH	1	80	1.5	26.44	51.21	6	EI
CuCl	L5	0.1	KOH	0.5	EtOH	1	80	1.5	20.07	61.95	6	EI
CuCl	L9	0.1	K2CO3	0.5	EtOH	1	80	1.5	65.17	96.19	6	EI
CuBr	L9	0.05	K2CO3	0.5	2Me-THF	1	60	1.1	16.97	58.03	7	EI
CuBr	L9	0.1	K2CO3	2	PhMe	1	80	1.5	10.86	38.64	7	EI
CuBr	L7	0.05	K2CO3	2	EtOH	1	80	1.5	73.58	100.00	7	EI
CuCl	L9	0.1	K2CO3	0.5	iBuOH	1	80	1.5	47.36	84.63	7	EI
CuI	L9	0.1	K2CO3	0.5	EtOH	1	80	1.5	56.24	95.67	7	EI
CuCl	L9	0.1	K2CO3	2	EtOH	1	80	1.1	59.07	84.11	7	EI
CuCl	L9	0.1	K2CO3	0.5	EtOH	1	60	1.5	43.18	52.66	7	EI
CuCl	L1	0.1	K2CO3	0.5	EtOH	1	80	1.5	20.53	39.52	7	EI
CuI	L7	0.05	Cs2CO3	2	EtOH	0.5	80	1.1	0.00	100.00	8	EI
Cu2O	L7	0.05	NaOtBu	2	EtOH	1	80	1.5	0.00	99.18	8	EI
Cu(OAc)2	L7	0.05	K2CO3	2	EtOH	1	80	1.1	62.02	100.00	8	EI
CuI	L7	0.05	K2CO3	2	EtOH	1	80	1.5	47.68	100.00	8	EI
CuBr	L7	0.05	KOH	2	EtOH	1	80	1.5	0.00	100.00	8	EI
CuBr	L7	0.05	K2CO3	2	EtOH	0.5	80	1.5	75.29	100.00	8	EI
CuBr	L7	0.1	K2CO3	2	EtOH	1	80	1.1	64.95	100.00	8	EI
CuBr	L7	0.05	K3PO4	2	EtOH	1	80	1.5	85.51	100.00	8	EI
CuBr	L1	0.1	K3PO4	0.5	iBuOH	0.5	60	1.5	4.10	25.05	9	EI
CuBr	L4	0.05	K3PO4	2	2Me-THF	1	80	1.5	08.07	19.30	9	EI
CuBr	L9	0.1	K3PO4	2	EtOH	0.5	80	1.5	67.93	100.00	9	EI
CuBr	L7	0.05	K3PO4	0.5	PhMe	1	80	1.5	07.01	14.24	9	EI
CuBr	L2	0.05	K3PO4	2	EtOH	1	60	1.5	13.96	70.39	9	EI
CuBr	L7	0.1	K3PO4	2	DMSO	1	80	1.5	87.20	100.00	9	EI
CuBr	L10	0.05	K2CO3	2	EtOH	1	80	1.5	74.88	100.00	9	EI
